1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1549,1178.0,3.0,No,297,Rec,556,440,Unf,1932.0,2727,Gd,10570,70.0,0.0,74,8,8,853,1932,1994,315000
1992,876.0,4.0,Av,240,GLQ,1752,716,Fin,2005.0,2868,Ex,16056,85.0,208.0,108,5,9,1992,2005,2006,556581
1668,0.0,3.0,Av,370,BLQ,315,502,Fin,2003.0,1668,Gd,10635,48.0,171.0,262,5,8,1657,2003,2003,232000
741,622.0,3.0,No,0,Unf,622,528,Unf,1966.0,1363,TA,7740,60.0,0.0,0,7,4,622,1910,1950,125500
2196,0.0,3.0,Mn,485,ALQ,1496,701,RFn,1990.0,2196,Gd,14684,90.0,234.0,70,7,7,2158,1990,1991,271900
1268,0.0,3.0,Av,196,ALQ,1072,252,Unf,1978.0,1268,Gd,9286,69.0,0.0,0,7,5,1268,1977,1989,143500
1140,0.0,3.0,No,0,Unf,1140,0,None,1980.0,1140,TA,17217,90.0,0.0,56,5,5,1140,2006,2006,84500
1383,0.0,3.0,No,565,Rec,818,292,Unf,1960.0,1383,TA,11600,80.0,175.0,45,5,6,1383,1960,1960,145250
807,702.0,3.0,No,457,GLQ,326,393,Fin,2002.0,1509,Gd,7861,69.0,0.0,75,5,6,783,2002,2003,183200
1298,1216.0,4.0,No,1216,LwQ,0,693,Fin,1990.0,2514,TA,11170,69.0,0.0,0,5,7,1216,1990,1991,250000
952,0.0,2.0,No,228,ALQ,724,283,Unf,1956.0,952,TA,8475,69.0,0.0,0,7,4,952,1956,1956,135750
912,0.0,3.0,Mn,832,GLQ,80,288,Unf,1962.0,912,Gd,6768,65.0,0.0,0,8,6,912,1961,1996,142000
889,551.0,3.0,No,0,Unf,540,352,Unf,1940.0,1440,TA,5000,63.0,0.0,0,4,5,540,1900,1950,79000
616,1072.0,4.0,Gd,462,GLQ,154,603,RFn,1997.0,1688,Gd,12798,79.0,0.0,114,5,6,616,1997,1997,200000
1048,0.0,2.0,No,0,Unf,993,280,Unf,1922.0,1048,TA,6380,58.0,0.0,0,6,5,993,1922,1950,113000
1122,1121.0,4.0,No,700,ALQ,0,746,RFn,1990.0,2243,Gd,13474,116.0,246.0,44,5,7,700,1990,1991,225000
954,0.0,3.0,Av,483,ALQ,428,576,Unf,1976.0,954,TA,10780,55.0,0.0,0,5,5,911,1976,1976,132500
887,1134.0,3.0,No,0,Unf,868,422,RFn,2006.0,2021,Gd,23257,168.0,0.0,100,5,7,868,2006,2006,274725
1116,0.0,3.0,No,0,Unf,1116,440,Unf,1962.0,1116,TA,10000,87.0,261.0,0,6,6,1116,1962,1962,160000
682,548.0,2.0,No,0,Unf,440,440,Unf,1966.0,1230,TA,10440,60.0,0.0,0,6,5,440,1910,1981,110000
1236,857.0,3.0,No,0,Unf,791,542,Fin,1986.0,2093,TA,20544,46.0,123.0,63,6,7,791,1986,1991,215000
1167,0.0,3.0,No,645,BLQ,270,495,Unf,1972.0,1167,TA,8731,98.0,0.0,0,5,5,915,1920,1950,144000
840,534.0,2.0,No,315,ALQ,420,338,Fin,1967.0,1374,TA,5400,90.0,0.0,0,6,4,840,1920,1950,105000
1196,0.0,2.0,No,616,LwQ,580,297,RFn,1956.0,1196,TA,9000,72.0,74.0,44,5,6,1196,1956,1956,139000
752,0.0,2.0,No,623,ALQ,0,264,Unf,1984.0,752,TA,7175,50.0,0.0,0,5,6,744,1984,1984,125000
1132,1320.0,4.0,Av,0,Unf,1117,691,Unf,2004.0,2452,Gd,13418,108.0,132.0,32,5,8,1117,2004,2005,309000
1532,797.0,4.0,No,1085,GLQ,390,514,Unf,1990.0,2329,Gd,11839,86.0,99.0,121,5,7,1475,1990,1990,262280
1392,0.0,3.0,No,1302,Unf,90,528,Unf,1957.0,1392,TA,11341,69.0,180.0,0,6,5,1392,1957,1996,121500
1580,0.0,3.0,No,0,Unf,1580,830,RFn,2008.0,1580,Gd,11932,92.0,186.0,24,5,8,1580,2007,2008,235128
1180,0.0,3.0,Gd,1065,GLQ,92,454,Unf,1988.0,2062,TA,14364,69.0,128.0,55,5,7,1157,1988,1989,277000
1844,0.0,2.0,No,976,GLQ,868,620,Fin,2005.0,1844,Gd,10994,88.0,366.0,44,5,8,1844,2005,2006,257000
1216,0.0,2.0,No,897,GLQ,319,402,Unf,1998.0,1216,TA,4500,32.0,116.0,125,5,6,1216,1998,1998,164000
888,868.0,3.0,No,742,ALQ,130,422,Fin,1996.0,1756,TA,9303,69.0,42.0,122,5,6,872,1996,1997,204000
1208,0.0,2.0,No,664,GLQ,544,628,RFn,2007.0,1208,Gd,6762,64.0,108.0,54,5,7,1208,2007,2007,195400
483,504.0,2.0,No,330,BLQ,153,264,Unf,1973.0,987,TA,1680,21.0,158.0,0,5,6,483,1973,1973,100000
780,840.0,4.0,No,493,Rec,0,462,Fin,1969.0,1620,TA,10793,80.0,263.0,0,5,5,780,1969,1969,152000
926,0.0,3.0,No,234,LwQ,0,484,Unf,1974.0,1316,TA,5500,50.0,0.0,0,7,5,926,1929,2001,130000
1788,0.0,3.0,Av,0,Unf,1753,522,RFn,2001.0,1788,Ex,11838,69.0,0.0,151,5,8,1753,2001,2001,236500
1040,0.0,2.0,None,0,None,0,420,Unf,1956.0,1040,TA,7200,60.0,0.0,0,5,4,0,1949,1950,90000
960,0.0,0.0,Av,648,GLQ,0,364,Unf,1965.0,960,TA,10246,69.0,0.0,0,9,4,648,1965,2001,145000
811,576.0,3.0,No,0,Unf,811,256,Unf,1954.0,1387,Gd,6000,50.0,0.0,0,4,5,811,1954,1954,93000
1905,0.0,3.0,No,0,Unf,1905,788,Fin,2006.0,1905,Ex,11670,84.0,302.0,191,5,9,1905,2006,2006,320000
938,0.0,3.0,Av,280,LwQ,167,308,Unf,1977.0,938,TA,9200,69.0,0.0,0,6,5,938,1975,1980,130250
483,504.0,2.0,No,0,Unf,483,288,Unf,1972.0,987,TA,1680,21.0,297.0,0,5,6,483,1972,1972,94500
948,0.0,3.0,No,732,Rec,216,280,Unf,1956.0,948,TA,8190,60.0,0.0,36,6,4,948,1954,1954,119000
855,601.0,3.0,No,311,Unf,544,440,Unf,1978.0,1456,TA,2280,24.0,0.0,0,5,6,855,1978,1978,146000
840,880.0,3.0,No,0,Unf,840,440,Fin,2004.0,1720,Gd,8244,62.0,0.0,48,5,7,840,2004,2004,183500
1104,684.0,5.0,Av,0,Unf,1104,304,Unf,1957.0,1788,TA,11250,69.0,0.0,0,5,4,1104,1957,1989,161500
1130,1054.0,3.0,Av,936,GLQ,168,836,Fin,2008.0,2184,Ex,11308,96.0,154.0,102,5,9,1104,2008,2008,335000
1509,0.0,3.0,Av,783,GLQ,678,600,RFn,1988.0,1509,Gd,10200,85.0,219.0,0,5,6,1461,1988,1989,175000
1040,0.0,2.0,None,0,None,0,625,Unf,1950.0,1040,TA,7200,60.0,0.0,0,7,5,0,1950,1950,109500
977,755.0,3.0,No,0,Unf,741,476,Fin,1985.0,1732,Gd,9206,77.0,336.0,46,5,6,741,1985,1985,178000
1200,0.0,1.0,Mn,661,GLQ,203,884,Unf,1977.0,1200,Gd,9230,71.0,166.0,64,8,5,864,1965,1998,146000
860,0.0,2.0,Av,672,ALQ,168,528,Unf,1996.0,860,TA,8740,74.0,0.0,0,6,5,840,1982,1982,137000
815,875.0,3.0,No,0,Unf,815,225,Unf,1916.0,1690,TA,8850,65.0,0.0,0,6,7,815,1916,1950,144000
1383,0.0,3.0,Mn,1064,BLQ,319,354,Unf,1954.0,1383,TA,13284,69.0,0.0,116,5,5,1383,1954,1954,165000
1188,1152.0,4.0,No,275,GLQ,877,252,RFn,1941.0,2340,Gd,9042,66.0,0.0,60,9,7,1152,1941,2006,266500
1134,924.0,3.0,No,319,Rec,416,396,Unf,1950.0,2058,TA,9600,60.0,0.0,0,5,6,735,1917,1950,129500
742,742.0,3.0,No,0,Unf,742,0,None,1980.0,1484,TA,6300,35.0,0.0,291,6,6,742,1914,2001,128000
1584,0.0,4.0,No,0,Unf,1584,792,Unf,1967.0,1584,TA,8944,65.0,0.0,152,5,5,1584,1967,1967,124000
1479,0.0,3.0,No,0,Unf,1468,577,RFn,1999.0,1479,Gd,9382,93.0,125.0,25,5,7,1468,1999,2000,191000
990,0.0,3.0,No,716,ALQ,274,576,Unf,1996.0,990,TA,13568,43.0,0.0,0,5,5,990,1995,1995,156000
1661,0.0,3.0,Av,831,BLQ,161,377,RFn,1955.0,1661,Gd,9600,80.0,0.0,28,6,6,992,1955,1996,165500
866,902.0,3.0,Av,20,GLQ,846,578,RFn,2007.0,1768,Gd,10769,68.0,0.0,105,5,8,866,2007,2007,212000
1621,0.0,3.0,Mn,213,ALQ,995,440,Unf,1984.0,1621,Gd,14145,91.0,0.0,45,7,7,1208,1984,1998,202500
1493,0.0,3.0,Gd,994,GLQ,484,508,Fin,1997.0,1493,Gd,13125,75.0,215.0,39,5,6,1478,1997,1998,208900
1168,800.0,3.0,Av,562,Unf,29,530,RFn,1969.0,1968,TA,11075,69.0,232.0,189,4,5,784,1969,1969,172000
1190,900.0,3.0,Mn,828,GLQ,180,577,Fin,1984.0,2090,Gd,5062,69.0,0.0,0,5,7,1190,1984,1984,207500
1196,0.0,2.0,No,197,LwQ,999,440,Unf,1957.0,1196,TA,4800,40.0,0.0,0,7,4,1196,1916,1990,109900
884,1151.0,3.0,No,0,Unf,884,434,Fin,2001.0,2035,Gd,9505,69.0,180.0,48,5,7,884,2001,2001,222500
1363,0.0,2.0,Gd,226,LwQ,96,439,Unf,1954.0,1363,TA,39104,73.0,0.0,0,7,7,1385,1954,2005,241500
840,0.0,3.0,No,116,LwQ,556,0,None,1980.0,840,TA,4388,55.0,0.0,0,7,5,672,1930,1950,87000
2524,0.0,4.0,No,1104,ALQ,1420,542,Fin,1981.0,2524,Gd,9600,80.0,0.0,120,5,8,2524,1981,1981,278000
1525,0.0,3.0,Av,1400,GLQ,125,541,RFn,2000.0,1525,Gd,9100,70.0,244.0,36,5,7,1525,2000,2000,235000
1040,0.0,2.0,None,0,Unf,0,400,Unf,1949.0,1040,TA,8544,60.0,0.0,0,4,3,0,1950,1950,93500
1634,0.0,3.0,No,0,Unf,1626,866,Unf,2006.0,1634,Gd,11428,98.0,248.0,44,5,8,1626,2006,2006,250000
760,896.0,3.0,No,0,Unf,746,397,Fin,2003.0,1656,Gd,6931,60.0,92.0,128,5,7,746,2003,2004,165400
831,829.0,3.0,No,0,Unf,831,493,RFn,2002.0,1660,Gd,8935,68.0,95.0,68,5,7,831,2002,2002,195000
2129,743.0,4.0,No,700,GLQ,983,541,Fin,1992.0,2872,Gd,10678,85.0,337.0,33,5,8,1683,1992,2000,285000
1142,793.0,3.0,No,0,Unf,793,550,RFn,1976.0,1935,TA,12384,69.0,233.0,113,7,7,793,1976,1976,197900
810,855.0,3.0,No,643,GLQ,167,528,Fin,2001.0,1665,Gd,8400,70.0,0.0,45,6,8,810,2001,2001,227000
1687,998.0,5.0,No,523,GLQ,301,672,Fin,1970.0,3082,TA,15863,102.0,0.0,63,3,7,824,1920,1970,197000
1328,1203.0,4.0,Av,56,LwQ,1198,752,RFn,1995.0,2531,Gd,12257,65.0,513.0,98,5,8,1318,1995,1995,290000
1064,703.0,2.0,No,495,GLQ,354,504,RFn,1987.0,1767,Gd,5306,44.0,0.0,35,7,7,1064,1987,1987,239000
1262,0.0,3.0,No,905,GLQ,357,572,Unf,2006.0,1262,Gd,7200,60.0,68.0,120,5,6,1262,2006,2006,185000
841,806.0,4.0,No,0,Unf,806,216,Unf,1920.0,1647,Fa,6858,66.0,0.0,66,4,6,806,1915,1950,128000
764,862.0,2.0,No,0,Unf,764,474,RFn,2003.0,1626,Gd,2628,36.0,106.0,27,5,7,764,2003,2003,175500
928,0.0,3.0,No,308,Rec,620,288,Fin,1957.0,928,TA,6000,50.0,0.0,0,6,5,928,1957,1957,112500
925,0.0,3.0,No,338,BLQ,121,429,Unf,1965.0,925,TA,9100,70.0,0.0,0,6,5,925,1965,1965,117500
1494,0.0,3.0,Av,437,LwQ,0,481,Fin,1995.0,1494,Ex,9549,30.0,0.0,30,5,8,1494,1995,1996,270000
1006,0.0,3.0,No,288,GLQ,718,0,None,1980.0,1006,TA,9000,69.0,0.0,24,3,5,1006,1959,1959,80000
894,0.0,2.0,No,0,Unf,894,308,Unf,1962.0,894,TA,6600,60.0,0.0,0,5,5,894,1962,1962,109500
1026,0.0,3.0,Gd,505,GLQ,0,576,Unf,1981.0,1026,TA,10970,69.0,0.0,0,6,6,940,1978,1978,147000
1002,0.0,3.0,No,828,BLQ,174,902,Unf,1973.0,1002,TA,8750,69.0,76.0,0,6,5,1002,1970,1970,148500
630,0.0,1.0,Av,150,LwQ,0,0,None,1980.0,630,TA,1491,21.0,0.0,24,6,4,630,1972,1972,75500
976,1111.0,5.0,Gd,568,LwQ,264,444,Fin,1966.0,2087,Gd,12205,69.0,157.0,168,8,6,832,1966,2007,187500
1281,457.0,4.0,No,0,Unf,715,368,Unf,1920.0,1738,TA,12513,69.0,0.0,0,4,4,715,1920,2007,104900
1164,0.0,3.0,No,1040,ALQ,124,240,Unf,1950.0,1164,TA,10880,68.0,0.0,48,5,5,1164,1950,1950,125000
894,0.0,3.0,No,492,BLQ,402,450,Unf,1968.0,894,TA,8724,109.0,0.0,0,5,5,894,1968,1968,129000
1617,0.0,2.0,No,165,LwQ,598,533,Unf,1993.0,1617,Gd,8012,50.0,0.0,69,5,6,1604,1993,1994,193000
1795,0.0,3.0,No,0,Unf,1777,534,RFn,2002.0,1795,Gd,9742,75.0,281.0,159,5,8,1777,2002,2002,230000
600,0.0,3.0,No,0,Unf,600,0,None,1980.0,968,TA,5925,50.0,0.0,0,6,3,600,1910,1950,37900
1200,0.0,3.0,No,334,ALQ,322,521,RFn,1995.0,1200,Gd,11249,105.0,0.0,26,5,6,1200,1995,1995,177500
866,902.0,3.0,No,400,GLQ,466,603,RFn,2005.0,1768,Gd,9803,75.0,0.0,108,5,7,866,2005,2005,226700
1100,0.0,3.0,No,419,ALQ,375,312,RFn,1960.0,1100,TA,12493,69.0,0.0,0,5,4,1100,1960,1960,141000
1456,0.0,2.0,Gd,0,Unf,1273,400,Fin,2003.0,1456,Gd,3196,69.0,40.0,20,5,8,1273,2003,2003,215000
672,252.0,2.0,No,348,BLQ,324,280,Unf,1941.0,924,Fa,12180,60.0,0.0,0,4,4,672,1941,1950,80000
1266,0.0,3.0,No,0,Unf,1257,453,Unf,2005.0,1266,Gd,7500,62.0,0.0,144,5,7,1257,2005,2005,176000
1200,0.0,3.0,Gd,1200,GLQ,0,0,None,1980.0,1200,TA,10800,60.0,0.0,0,5,5,1200,1987,1988,179000
935,0.0,3.0,No,560,BLQ,0,288,Unf,1965.0,935,TA,13526,69.0,114.0,0,6,5,935,1965,1965,137000
1422,915.0,5.0,No,0,Unf,662,560,Unf,1945.0,2337,TA,13600,85.0,0.0,57,5,5,662,1900,1950,90000
1516,651.0,3.0,Gd,125,LwQ,36,518,RFn,1974.0,2167,Gd,17542,69.0,0.0,47,7,7,1192,1974,2003,294000
2053,1185.0,4.0,Av,816,Unf,1217,666,Fin,1996.0,3238,Gd,14720,56.0,579.0,86,5,8,2033,1995,1996,410000
1646,0.0,2.0,Gd,1373,GLQ,221,482,Fin,2004.0,1646,Gd,3842,44.0,174.0,53,5,8,1594,2004,2005,275000
1092,0.0,3.0,No,170,LwQ,252,288,Unf,1962.0,1092,TA,11616,69.0,116.0,20,5,5,1092,1962,1962,139000
932,920.0,3.0,No,822,GLQ,78,644,RFn,2009.0,1852,Gd,8640,72.0,0.0,108,5,7,900,2009,2009,252678
816,0.0,3.0,No,641,ALQ,175,264,Unf,1982.0,816,Gd,6600,60.0,0.0,0,9,5,816,1982,2008,130500
1040,685.0,3.0,No,315,GLQ,114,550,RFn,1979.0,1725,TA,11584,80.0,96.0,88,6,7,539,1979,1979,197000
912,0.0,2.0,No,111,BLQ,522,297,Fin,1958.0,912,TA,7535,70.0,0.0,285,7,5,912,1958,1985,120000
912,0.0,2.0,No,456,Rec,456,275,RFn,1958.0,912,TA,10150,70.0,1.0,0,5,5,912,1958,1958,114500
520,600.0,2.0,No,0,Unf,600,480,RFn,2005.0,1200,Gd,3180,30.0,0.0,166,5,7,600,2005,2005,151000
1224,0.0,2.0,None,0,None,0,462,Unf,1962.0,1224,TA,9842,70.0,0.0,0,5,4,0,1962,1962,101800
824,1070.0,4.0,No,624,GLQ,193,510,Unf,2002.0,1894,Gd,11316,80.0,44.0,40,5,7,817,2002,2003,214900
860,1100.0,4.0,No,625,GLQ,235,440,Fin,2002.0,1960,Gd,7851,69.0,0.0,48,5,6,860,2002,2002,216500
2018,0.0,3.0,Gd,0,Unf,2002,746,Fin,2009.0,2018,Ex,13214,89.0,0.0,76,5,9,2002,2008,2009,378500
810,518.0,3.0,No,0,Unf,686,210,Unf,1940.0,1328,TA,9906,57.0,0.0,172,4,4,686,1925,1950,107000
925,550.0,4.0,No,548,ALQ,36,336,RFn,1977.0,1475,TA,2665,41.0,0.0,26,6,5,757,1977,1977,127000
1378,741.0,3.0,No,0,Unf,689,583,Unf,1972.0,2119,TA,10448,69.0,333.0,104,6,6,689,1972,1972,158000
1056,0.0,0.0,No,1056,GLQ,0,576,Unf,1980.0,1056,TA,6979,64.0,0.0,56,5,6,1056,1980,1980,144000
960,0.0,3.0,No,520,Rec,440,432,Fin,1965.0,960,TA,10921,73.0,48.0,0,5,4,960,1965,1965,94750
1154,0.0,3.0,Mn,740,BLQ,184,480,RFn,1966.0,1154,TA,11000,69.0,200.0,58,6,5,1154,1966,1966,154000
1054,0.0,3.0,No,602,ALQ,14,460,Unf,1969.0,1054,TA,9750,65.0,0.0,0,8,6,1054,1969,1969,151000
980,0.0,4.0,Gd,945,Unf,0,0,None,1980.0,980,TA,9400,35.0,250.0,0,5,6,945,1975,1975,127500
1966,1174.0,4.0,No,0,Unf,1926,820,Fin,2009.0,3140,Ex,13518,104.0,860.0,78,5,9,1926,2008,2009,485000
1079,874.0,3.0,Av,985,GLQ,595,501,Fin,1992.0,1953,Gd,53107,69.0,0.0,231,5,6,1580,1992,1992,240000
966,686.0,4.0,No,686,LwQ,0,416,Unf,1961.0,1652,TA,10800,60.0,0.0,0,6,5,686,1915,1950,139000
780,0.0,2.0,Av,632,ALQ,148,352,Unf,1973.0,780,TA,7200,60.0,0.0,0,7,5,780,1972,1972,124900
1048,0.0,3.0,None,0,None,0,420,Unf,1950.0,1048,TA,7200,60.0,0.0,27,5,5,0,1950,1950,98300
1032,220.0,3.0,No,280,BLQ,752,288,Unf,1950.0,1252,TA,9600,80.0,0.0,0,5,6,1032,1950,1950,119000
1867,0.0,2.0,No,379,LwQ,470,303,Fin,1955.0,1867,TA,10708,69.0,0.0,0,5,5,1617,1955,1993,190000
707,707.0,3.0,Av,0,Unf,707,403,Fin,2004.0,1414,Gd,9056,74.0,0.0,35,5,8,707,2004,2004,178000
520,600.0,2.0,No,0,Unf,600,480,RFn,2005.0,1200,Gd,3180,30.0,0.0,166,5,7,600,2005,2005,144152
536,576.0,3.0,No,129,Rec,175,336,Unf,1976.0,1112,TA,2592,36.0,0.0,0,3,5,536,1976,1976,85000
